|NDB_No|FdGrp_Cd|Long_Desc|SE
7029|22900|2200|Ravioli, meat-filled, with tomato sauce or meat sauce, canned|9.6
5408|17311|1700|"Lamb, Australian, imported, fresh, loin, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled"|9.6
6791|21266|2100|TACO BELL, BURRITO SUPREME with chicken|9.6
231|1284|100|Yogurt, Greek, strawberry, lowfat|9.6
5270|17172|1700|Game meat, moose, raw (Alces alces)|9.6
4747|16007|1600|Beans, baked, canned, with beef|9.6
5755|18250|1800|Doughnuts, cake-type, plain, sugared or glazed|9.6
240|1294|100|Yogurt, Greek, fruit, whole milk|9.6
8254|32021|2200|Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)|9.6
6375|19434|2500|Cheese puffs and twists, corn based, baked, low fat|9.6
8558|36632|3600|CARRABBA'S ITALIAN GRILL, spaghetti with meat sauce|9.5
6009|18961|1800|Crackers, cream, GAMESA SABROSAS|9.5
227|1276|100|Yogurt, Greek, strawberry, DANNON OIKOS|9.5
5982|18932|1800|Waffles, buttermilk, frozen, ready-to-heat|9.5
230|1281|100|Yogurt, Greek, nonfat, strawberry, CHOBANI|9.5
6019|18971|1800|Bread, potato|9.5
5821|18328|1800|Pie, vanilla cream, prepared from recipe|9.5
7020|22247|2200|Macaroni and Cheese, canned entree|9.5
7110|22999|2200|Rice and vermicelli mix, chicken flavor, prepared with 80% margarine|9.5
574|3913|300|Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, powder|9.4
1774|8001|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original|9.4
232|1285|100|Yogurt, Greek, strawberry, nonfat|9.4
3615|12014|1200|Seeds, pumpkin and squash seed kernels, dried|9.4
13|1014|100|Cheese, cottage, nonfat, uncreamed, dry, large or small curd|9.4
5648|18119|1800|Cake, pineapple upside-down, prepared from recipe|9.4
6383|19444|2500|Snacks, tortilla chips, low fat, made with olestra, nacho cheese|9.4
6645|20651|2000|Rice, brown, parboiled, cooked, UNCLE BENS|9.4
5278|17180|1700|Game meat, rabbit, wild, raw (Sylvilagus spp., Oryctolagus spp.)|9.4
4287|14222|1400|Beverages, coffee, instant, with chicory|9.4
3716|12516|1200|Seeds, pumpkin and squash seed kernels, roasted, with salt added|9.4
3616|12016|1200|Seeds, pumpkin and squash seed kernels, roasted, without salt|9.4
3273|11615|1100|Chives, freeze-dried|9.4
3799|13339|1300|Beef, variety meats and by-products, tongue, raw|9.4
8091|28289|1800|Cookie, vanilla with caramel, coconut, and chocolate coating|9.4
1580|6957|600|Gravy, brown instant, dry|9.3
5281|17183|1700|Game meat, squirrel, raw (Sciuridae)|9.3
3008|11260|1100|Mushrooms, white, raw (Agaricus bisporus)|9.3
632|3999|300|Infant formula, ABBOTT NUTRITION, SIMILAC, For Spit Up, powder, with ARA and DHA|9.3
6513|20047|2000|Rice, white, long-grain, parboiled, enriched, cooked|9.3
284|2035|200|Spices, pumpkin pie spice|9.3
3548|11938|1100|Mushroom, white, exposed to ultraviolet light, raw|9.3
3728|12588|1200|Nuts, cashew butter, plain, with salt added|9.3
8131|28329|1800|Cookies, chocolate, made with rice cereal|9.3
3674|12135|1200|Nuts, mixed nuts, dry roasted, with peanuts, without salt added|9.3
4997|16390|1600|Peanuts, all types, dry-roasted, without salt|9.3
1583|6960|600|Sauce, alfredo mix, dry|9.3
6615|20447|2000|Rice, white, long-grain, parboiled, unenriched, cooked|9.3
4827|16090|1600|Peanuts, all types, dry-roasted, with salt|9.3
603|3957|300|Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA|9.3
6785|21260|2100|TACO BELL, Original Taco with beef, cheese and lettuce|9.2
6683|21082|2100|Fast foods, taco with beef, cheese and lettuce, hard shell|9.2
8144|28342|1800|Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour|9.2
150|1172|100|Egg, white, raw, frozen, pasteurized|9.2
1983|8504|800|Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes|9.2
8278|33871|300|Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, powder, with ARA and DHA|9.2
5420|17323|1700|"Lamb, Australian, imported, fresh, shoulder, arm, separable lean and fat, trimmed to 1/8"" fat, cooked, braised"|9.2
8155|28354|1800|ANDREA'S, Gluten Free Soft Dinner Roll|9.2
5487|17390|1700|Lamb, New Zealand, imported, hind-shank, separable lean only, cooked, braised|9.2
3767|13166|1300|USDA Commodity, beef, canned|9.1
8524|36413|3600|Restaurant, Latino, black bean soup|9.1
5475|17378|1700|Lamb, New Zealand, imported, tongue - swiss cut, cooked, soaked and simmered|9.1
4879|16149|1600|Peanut spread, reduced sugar|9.1
5167|17069|1700|Lamb, New Zealand, imported, fore-shank, separable lean and fat, cooked, braised|9.1
5801|18304|1800|Pie, banana cream, prepared from recipe|9.1
1310|6179|600|Sauce, fish, ready-to-serve|9.1
5272|17174|1700|Game meat, muskrat, raw (Ondatra zibethica)|9.1
1798|8038|800|Cereals ready-to-eat, POST, GRAPE-NUTS Cereal|9.1
4798|16060|1600|Cowpeas, catjang, mature seeds, raw (Vigna unguiculata subsp. cylindrica)|9.1
5655|18133|1800|Cake, sponge, commercially prepared|9.1
5197|17099|1700|Veal, leg (top round), separable lean only, raw|9.1
5693|18182|1800|Cookies, oatmeal, refrigerated dough|9.1
7727|25033|2500|Snacks, granola bar, KASHI TLC Bar, chewy, mixed flavors|9.1
5426|17329|1700|"Lamb, Australian, imported, fresh, shoulder ,blade, separable lean only, trimmed to 1/8"" fat, cooked, broiled"|9.0
7516|23438|1300|Beef, New Zealand, imported, sweetbread, raw|9.0
5436|17339|1700|Game meat, elk, ground, cooked, pan-broiled (Cervus elaphus)|9.0
8605|42235|100|Cheese, cottage, lowfat, 1% milkfat, lactose reduced|9.0
7493|23415|1300|Beef, New Zealand, imported, variety meats and by-products, heart, raw|9.0
1982|8501|800|Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES|9.0
5258|17160|1700|Game meat, buffalo, water, raw (Bubalus bubalis)|9.0
15|1016|100|Cheese, cottage, lowfat, 1% milkfat|9.0
7754|25067|2500|Formulated Bar, SOUTH BEACH protein bar|9.0
5283|17185|1700|Lamb, variety meats and by-products, brain, raw|9.0
8095|28293|1800|Cookie, butter or sugar, with chocolate icing or filling|9.0
7039|22912|2200|Spaghetti, with meatballs in tomato sauce, canned|9.0
1902|8244|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal|9.0
7040|22914|2200|Pasta with tomato sauce, no meat, canned|9.0
4800|16062|1600|Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw (Vigna unguiculata subsp. unguiculata)|9.0
5192|17094|1700|Veal, leg (top round), separable lean and fat, raw|9.0
6754|21226|2100|Pizza, meat and vegetable topping, regular crust, frozen, cooked|9.0
5409|17312|1700|"Lamb, Australian, imported, fresh, loin, separable lean only, trimmed to 1/8"" fat, raw"|9.0
2484|10006|1000|Pork, fresh, separable fat, raw|9.0
5386|17289|1700|"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, cooked, braised"|9.0
594|3948|300|Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), powder, with ARA and DHA|9.0
3309|11672|1100|Potato pancakes|8.9
229|1280|100|Yogurt, Greek, nonfat, strawberry, DANNON OIKOS|8.9
7737|25045|2500|Formulated bar, high fiber, chewy, oats and chocolate|8.9
5013|16427|1600|Tofu, raw, regular, prepared with calcium sulfate|8.9
1968|8469|800|Cereals ready-to-eat, KELLOGG'S, Reduced Sugar Frosted Flakes Cereal|8.9
4863|16127|1600|Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)|8.9
6196|19168|1900|Desserts, egg custard, baked, prepared-from-recipe|8.8
5238|17140|1700|Veal, cubed for stew (leg and shoulder), separable lean only, raw|8.8
4849|16113|1600|Natto|8.8
8449|35239|3500|Tortilla, blue corn, Sakwavikaviki (Hopi)|8.8
5266|17168|1700|Goat, raw|8.8
5542|17445|1700|"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, roasted"|8.8
8496|36045|3600|ON THE BORDER, refried beans|8.8
280|2031|200|Spices, pepper, red or cayenne (Capsicum frutescens or Capsicum annuum)|8.8
5103|17005|1700|"Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, raw"|8.8
1980|8495|800|Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES|8.7
5393|17296|1700|"Lamb, Australian, imported, fresh, leg, shank half, separable lean only, trimmed to 1/8"" fat, raw"|8.7
5580|18023|1800|Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs|8.7
5235|17137|1700|Veal, sirloin, separable lean only, raw|8.7
8110|28308|1800|Crackers, standard snack-type, with whole wheat|8.7
6126|19094|1900|Desserts, flan, caramel custard, prepared-from-recipe|8.7
6469|19922|1900|Candies, coconut bar, not chocolate covered|8.6
6793|21268|2100|TACO BELL, Nachos|8.6
5379|17282|1700|"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean only, trimmed to 1/8"" fat, raw"|8.6
5188|17090|1700|Veal, composite of trimmed retail cuts, separable lean only, raw|8.6
6681|21078|2100|Fast foods, nachos, with cheese|8.6
6477|20006|2000|Barley, pearled, cooked|8.6
5472|17375|1700|Lamb, New Zealand, imported, sweetbread, raw|8.6
5223|17125|1700|Veal, shoulder, arm, separable lean only, raw|8.6
5900|18434|1800|Crackers, cheese, low sodium|8.6
7699|25001|2500|Snacks, popcorn, microwave, low fat|8.6
3314|11683|1100|Carrot, dehydrated|8.6
8764|43572|2500|Popcorn, microwave, low fat and sodium|8.6
16|1017|100|Cheese, cream|8.6
8150|28348|1800|Rolls, dinner, sweet|8.5
1942|8376|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS|8.5
6503|20035|2000|Quinoa, uncooked (Chenopodium quinoa Willd.)|8.5
1803|8048|800|Cereals ready-to-eat, GENERAL MILLS, KIX|8.5
5232|17134|1700|Veal, sirloin, separable lean and fat, raw|8.5
2020|8582|800|Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER|8.5
5211|17113|1700|Veal, rib, separable lean only, raw|8.5
7750|25063|2500|Snacks, potato chips, made from dried potatoes (preformed), multigrain|8.4
8711|43352|100|Cheese, cottage, lowfat, 1% milkfat, no sodium added|8.4
5220|17122|1700|Veal, shoulder, arm, separable lean and fat, raw|8.4
6479|20009|2000|Buckwheat groats, roasted, dry|8.4
5186|17088|1700|Veal, composite of trimmed retail cuts, separable lean and fat, raw (Bos taurus)|8.4
8376|35146|3500|Stew, mutton, corn, squash (Navajo)|8.4
5669|18155|1800|Cookies, butter, commercially prepared, enriched|8.4
6451|19903|1900|Chocolate, dark, 60-69% cacao solids|8.4
5500|17403|1700|Lamb, New Zealand, imported, hind-shank, separable lean and fat, cooked, braised|8.4
5554|17457|1700|"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, roasted"|8.4
347|3051|300|Babyfood, dinner, spaghetti and tomato and meat, toddler|8.4
346|3050|300|Babyfood, dinner, spaghetti and tomato and meat, junior|8.4
345|3049|300|Babyfood, dinner, beef and rice, toddler|8.4
341|3045|300|Babyfood, dinner, macaroni and tomato and beef, junior|8.4
340|3044|300|Babyfood, dinner, macaroni and tomato and beef, strained|8.4
339|3043|300|Babyfood, dinner, beef lasagna, toddler|8.4
7723|25028|2500|Tortilla chips, yellow, plain, salted|8.4
8529|36418|3600|Restaurant, Mexican, refried beans|8.4
6569|20116|2000|Noodles, japanese, somen, dry|8.3
8410|35182|3500|Acorn stew (Apache)|8.3
4883|16157|1600|Chickpea flour (besan)|8.3
1787|8020|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes|8.3
6376|19435|2500|Snacks, granola bar, fruit-filled, nonfat|8.3
8599|42200|1600|Papad|8.3
3746|13020|1300|Beef, retail cuts, separable fat, cooked|8.3
5217|17119|1700|Veal, shoulder, whole (arm and blade), separable lean only, raw|8.3
8531|36602|3600|Restaurant, Chinese, fried rice, without meat|8.3
5384|17287|1700|"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, cooked, braised"|8.3
5244|17146|1700|Game meat, bear, raw (Ursus arctos, Euarctos spp.)|8.3
6478|20008|2000|Buckwheat (Fagopyrum esculentum Moench)|8.3
4507|15026|1500|Fish, eel, mixed species, cooked, dry heat|8.3
4817|16080|1600|Mung beans, mature seeds, raw (Vigna radiata)|8.2
5001|16397|1600|Peanut butter, chunk style, without salt|8.2
5208|17110|1700|Veal, rib, separable lean and fat, raw|8.2
5407|17310|1700|"Lamb, Australian, imported, fresh, loin, separable lean and fat, trimmed to 1/8"" fat, raw"|8.2
8727|43393|800|Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size|8.2
4870|16135|1600|Winged beans, mature seeds, raw (Psophocarpus tetragonolobus)|8.2
4815|16078|1600|Mothbeans, mature seeds, raw (Vigna aconitifolia)|8.2
4813|16076|1600|Lupins, mature seeds, raw (Lupinus albus)|8.2
5424|17327|1700|"Lamb, Australian, imported, fresh, shoulder, blade, separable lean and fat, trimmed to 1/8"" fat, cooked, broiled"|8.2
4804|16067|1600|Hyacinth beans, mature seeds, raw (Dolichos purpureus)|8.2
4868|16133|1600|Yardlong beans, mature seeds, raw (Vigna uniguiculata subsp. sesquipedalis)|8.2
4790|16052|1600|Broadbeans (fava beans), mature seeds, raw (Vicia faba)|8.2
5711|18204|1800|Cookies, sugar, commercially prepared, regular (includes vanilla)|8.2
5777|18274|1800|Muffins, blueberry, commercially prepared (Includes mini-muffins)|8.2
228|1278|100|Yogurt, Greek, nonfat, vanilla, DANNON OIKOS|8.2
4838|16101|1600|Pigeon peas (red gram), mature seeds, raw (Cajanus cajan)|8.2
4711|15234|1500|Fish, catfish, channel, farmed, raw (Ictalurus punctatus (Rafinesque))|8.2
5721|18215|1800|Crackers, cheese, sandwich-type with peanut butter filling|8.2
4820|16083|1600|Mungo beans, mature seeds, raw (Vigna mungo)|8.2
4834|16097|1600|Peanut butter, chunk style, with salt|8.2
6403|19810|2500|Snacks, potato chips, plain, made with partially hydrogenated soybean oil, unsalted|8.1
6111|19078|1900|Baking chocolate, unsweetened, squares|8.1
6083|19043|2500|Snacks, potato chips, sour-cream-and-onion-flavor|8.1
6365|19415|2500|Snacks, potato sticks|8.1
6073|19031|2500|Snacks, oriental mix, rice-based|8.1
6371|19422|2500|Snacks, potato chips, reduced fat|8.1
6415|19823|2500|Potato chips, without salt, reduced fat|8.1
6362|19412|2500|Snacks, potato chips, made from dried potatoes, cheese-flavor|8.1
5540|17443|1700|"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean only, trimmed to 1/8"" fat, raw"|8.1
5425|17328|1700|"Lamb, Australian, imported, fresh, shoulder, blade, separable lean only, trimmed to 1/8"" fat, raw"|8.1
5214|17116|1700|Veal, shoulder, whole (arm and blade), separable lean and fat, raw|8.1
6055|19008|2500|Snacks, corn-based, extruded, puffs or twists, cheese-flavor|8.1
8266|32034|2200|HUNGRY MAN, Salisbury Steak With Gravy, frozen, unprepared|8.1
5859|18374|1800|Leavening agents, yeast, baker's, compressed|8.1
3671|12130|1200|Nuts, hickorynuts, dried (Carya spp.)|8.1
8622|42283|2500|Snacks, potato chips, white, restructured, baked|8.1
6404|19811|2500|Snacks, potato chips, plain, unsalted|8.1
6378|19437|2500|Snacks, potato chips, fat free, salted|8.1
6682|21080|2100|Fast foods, nachos, with cheese, beans, ground beef, and tomatoes|8.1
6794|21269|2100|TACO BELL, Nachos Supreme|8.1
5681|18168|1800|Cookies, chocolate sandwich, with extra creme filling|8.1
8554|36626|3600|Restaurant, Chinese, chicken and vegetables|8.1
8547|36619|3600|Restaurant, Chinese, kung pao chicken|8.1
6402|19809|2500|Snacks, potato chips, plain, made with partially hydrogenated soybean oil, salted|8.1
5395|17298|1700|"Lamb, Australian, imported, fresh, leg, sirloin half, boneless, separable lean and fat, trimmed to 1/8"" fat, raw"|8.0
7023|22522|2200|Pasta with Sliced Franks in Tomato Sauce, canned entree|8.0
5435|17338|1700|Game meat, elk, ground, raw (Cervus elaphus)|8.0
672|4144|400|Salad dressing, italian dressing, reduced fat, without salt|8.0
630|3997|300|Babyfood, Baby MUM MUM Rice Biscuits|8.0
5557|17460|1700|"Lamb, Australian, imported, fresh, tenderloin, boneless, separable lean and fat, trimmed to 1/8"" fat, raw"|8.0
6488|20018|2000|Corn flour, yellow, degermed, unenriched|8.0
848|5026|500|Chicken, heart, all classes, cooked, simmered|8.0
2483|10005|1000|Pork, fresh, belly, raw|8.0
2582|10109|1000|Pork, fresh, variety meats and by-products, leaf fat, raw|8.0
5530|17433|1700|Veal, seam fat only, raw|8.0
5401|17304|1700|"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean only, trimmed to 1/8"" fat, raw"|8.0
5405|17308|1700|"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean only, trimmed to 1/8"" fat, raw"|8.0
5573|18014|1800|Biscuits, plain or buttermilk, refrigerated dough, higher fat|8.0
1930|8347|800|Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH|8.0
2482|10004|1000|Pork, fresh, backfat, raw|8.0
5385|17288|1700|"Lamb, Australian, imported, fresh, foreshank, separable lean only, trimmed to 1/8"" fat, raw"|8.0
5375|17278|1700|Veal, shank (fore and hind), separable lean only, raw (Bos taurus)|8.0
6110|19077|1900|Baking chocolate, unsweetened, liquid|7.9
3111|11386|1100|Potatoes, scalloped, dry mix, unprepared|7.9
5860|18375|1800|Leavening agents, yeast, baker's, active dry|7.9
1666|7058|700|Pickle and pimiento loaf, pork|7.9
7071|22957|2200|Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved|7.9
5373|17276|1700|Veal, shank (fore and hind), separable lean and fat, raw (Bos taurus)|7.9
4819|16082|1600|Noodles, chinese, cellophane or long rice (mung beans), dehydrated|7.9
6552|20091|2000|Pasta, gluten-free, corn, dry|7.9
6185|19155|1900|Candies, MARS SNACKFOOD US, SNICKERS Bar|7.8
5490|17393|1700|Lamb, New Zealand, imported, neck chops, separable lean only, cooked, braised|7.8
5462|17365|1700|Lamb, New Zealand, imported, flap, boneless, separable lean only, cooked, braised|7.8
1888|8211|800|Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S|7.8
7713|25017|2500|Formulated bar, POWER BAR, chocolate|7.8
5633|18096|1800|Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery|7.8
5799|18302|1800|Pie, apple, prepared from recipe|7.8
4463|14631|1400|Beverages, Horchata, dry mix, unprepared, variety of brands, all with morro seeds|7.8
7751|25064|2500|Snacks, potato chips, lightly salted|7.8
5391|17294|1700|"Lamb, Australian, imported, fresh, leg, shank half, separable lean and fat, trimmed to 1/8"" fat, raw"|7.8
5805|18309|1800|Pie, cherry, prepared from recipe|7.8
5421|17324|1700|"Lamb, Australian, imported, fresh, shoulder, arm, separable lean only, trimmed to 1/8"" fat, raw"|7.7
7807|27068|600|Dip, FRITO'S, bean, original flavor|7.7
8267|32035|2200|BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared|7.7
5873|18401|1800|Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled|7.7
209|1250|100|Nutritional supplement for people with diabetes, liquid|7.7
5701|18190|1800|Cookies, peanut butter sandwich, regular|7.7
1989|8510|2500|Milk and cereal bar|7.7
7804|27065|600|Dip, bean, original flavor|7.7
6502|20034|2000|Oat bran, cooked|7.7
12|1013|100|Cheese, cottage, creamed, with fruit|7.7
6051|19003|2500|Snacks, corn-based, extruded, chips, plain|7.6
1600|6980|600|Soup, beef stroganoff, canned, chunky style, ready-to-serve|7.6
1731|7933|700|Chicken breast, oven-roasted, fat-free, sliced|7.6
466|3215|300|Babyfood, pretzels|7.6
4999|16394|1600|Peanuts, valencia, oil-roasted, without salt|7.5
5377|17280|1700|"Lamb, Australian, imported, fresh, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, raw"|7.5
4833|16096|1600|Peanuts, virginia, oil-roasted, with salt|7.5
6517|20051|2000|Rice, white, medium-grain, enriched, cooked|7.5
6519|20053|2000|Rice, white, short-grain, enriched, cooked|7.5
4998|16392|1600|Peanuts, spanish, oil-roasted, without salt|7.5
4880|16150|1600|Peanut butter, smooth, reduced fat|7.5
4831|16094|1600|Peanuts, valencia, oil-roasted, with salt|7.5
4829|16092|1600|Peanuts, spanish, oil-roasted, with salt|7.5
3730|12635|1200|Nuts, mixed nuts, dry roasted, with peanuts, with salt added|7.5
4881|16155|1600|Peanut butter, smooth, vitamin and mineral fortified|7.5
1780|8012|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH|7.5
8264|32031|2200|Salisbury steak with gravy, frozen|7.5
5000|16396|1600|Peanuts, virginia, oil-roasted, without salt|7.5
8234|32001|2200|Rice and vermicelli mix, beef flavor, prepared with 80% margarine|7.5
5569|18010|1800|Biscuits, plain or buttermilk, dry mix|7.5
6605|20345|2000|Rice, white, long-grain, regular, cooked, enriched, with salt|7.5
1227|6028|600|Soup, clam chowder, manhattan, canned, condensed|7.5
8628|42291|1600|Peanut butter, reduced sodium|7.5
6511|20045|2000|Rice, white, long-grain, regular, enriched, cooked|7.5
7036|22908|2200|Beef, corned beef hash, with potato, canned|7.5
4851|16115|1600|Soy flour, full-fat, raw|7.5
4852|16116|1600|Soy flour, full-fat, roasted|7.5
6613|20445|2000|Rice, white, long-grain, regular, unenriched, cooked without salt|7.5
1715|7917|700|Sausage, pork and beef, with cheddar cheese, smoked|7.5
1716|7918|700|Sausage, summer, pork and beef, sticks, with cheddar cheese|7.5
4882|16156|1600|Peanut butter, chunky, vitamin and mineral fortified|7.5
6626|20545|2000|Rice, white, long-grain, regular, cooked, unenriched, with salt|7.5
1718|7920|700|Swisswurst, pork and beef, with swiss cheese, smoked|7.5
4242|14163|1400|Beverages, chocolate drink, milk and soy based, ready to drink, fortified|7.4
5480|17383|1700|Lamb, New Zealand, imported, square-cut shoulder chops, separable lean only, raw|7.4
8664|43131|1600|Luncheon slices, meatless|7.4
8663|43130|1600|Frankfurter, meatless|7.4
4841|16104|1600|Bacon, meatless|7.4
6206|19182|1900|Desserts, mousse, chocolate, prepared-from-recipe|7.4
8662|43128|1600|Chicken, meatless|7.4
1243|6049|600|Soup, pea, green, canned, condensed|7.4
5986|18936|1800|Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)|7.4
1245|6051|600|Soup, pea, split with ham, canned, condensed|7.4
4167|14062|1400|Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink|7.4
8735|43410|1600|Chicken, meatless, breaded, fried|7.4
6094|19057|2500|Snacks, tortilla chips, nacho cheese|7.4
3303|11663|1100|Seaweed, agar, dried|7.4
4842|16106|1600|Meat extender|7.4
4843|16107|1600|Sausage, meatless|7.4
8677|43212|1600|Bacon bits, meatless|7.4
5403|17306|1700|"Lamb, Australian, imported, fresh, leg, center slice, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw"|7.4
8528|36417|3600|Restaurant, Mexican, spanish rice|7.4
5803|18306|1800|Pie, blueberry, prepared from recipe|7.4
4165|14060|1400|Beverages, Energy Drink with carbonated water and high fructose corn syrup|7.3
5006|16409|1600|Soybeans, mature seeds, cooked, boiled, with salt|7.3
8763|43570|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted|7.3
2049|8633|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches|7.3
8611|42259|2500|Snacks, popcorn, home-prepared, oil-popped, unsalted|7.3
6401|19807|2500|Snacks, popcorn, oil-popped, white popcorn, salt added|7.3
8495|36044|3600|ON THE BORDER, Mexican rice|7.3
4830|16093|1600|Peanuts, valencia, raw (Arachis hypogaea)|7.3
6095|19058|2500|Snacks, tortilla chips, ranch-flavor|7.3
5627|18086|1800|Cake, angelfood, commercially prepared|7.3
8092|28290|1800|Cookie, with peanut butter filling, chocolate-coated|7.3
4845|16109|1600|Soybeans, mature cooked, boiled, without salt|7.3
1784|8017|800|Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP|7.3
5495|17398|1700|Lamb, New Zealand, imported, loin chop, separable lean only, cooked, fast fried|7.3
4808|16071|1600|Lima beans, large, mature seeds, raw (Phaseolus lunatus)|7.2
5383|17286|1700|"Lamb, Australian, imported, fresh, foreshank, separable lean and fat, trimmed to 1/8"" fat, raw"|7.2
5508|17411|1700|Lamb, New Zealand, imported, neck chops, separable lean and fat, cooked, braised|7.2
6795|21270|2100|TACO BELL, Taco Salad|7.2
3305|11667|1100|Seaweed, spirulina, dried|7.2
260|2011|200|Spices, cloves, ground (Syzygium aromaticum)|7.2
283|2034|200|Spices, poultry seasoning|7.2
4828|16091|1600|Peanuts, spanish, raw (Arachis hypogaea)|7.2
7753|25066|2500|Snacks, peas, roasted, wasabi-flavored|7.2
4824|16087|1600|Peanuts, all types, raw|7.2
5820|18327|1800|Pie, pumpkin, prepared from recipe|7.1
5811|18317|1800|Pie, egg custard, commercially prepared|7.1
8088|28286|1800|Bread, paratha, whole wheat, commercially prepared, frozen|7.1
5399|17302|1700|"Lamb, Australian, imported, fresh, leg, sirloin chops, boneless, separable lean and fat, trimmed to 1/8"" fat, raw"|7.1
4836|16099|1600|Peanut flour, defatted|7.1
4832|16095|1600|Peanuts, virginia, raw (Arachis hypogaea)|7.1
4837|16100|1600|Peanut flour, low fat|7.1
8751|43528|1400|Beverages, ABBOTT, ENSURE PLUS, ready-to-drink|7.1
7072|22958|2200|Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties)|7.1
5543|17446|1700|"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean only, trimmed to 1/8"" fat, raw"|7.1
8199|28399|1800|Cookies, animal crackers (includes arrowroot, tea biscuits)|7.0
3686|12151|1200|Nuts, pistachio nuts, raw (Pistacia vera)|7.0
323|3011|300|Babyfood, meat, lamb, junior|7.0
1891|8216|800|Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps|7.0
5168|17070|1700|Lamb, New Zealand, imported, fore-shank, separable lean only, raw|7.0
5320|17222|1700|Veal, variety meats and by-products, tongue, raw|7.0
8519|36408|3600|Restaurant, Latino, pupusas con frijoles (pupusas, bean)|7.0
161|1187|100|Yogurt, chocolate, nonfat milk|7.0
5817|18324|1800|Pie, pecan, commercially prepared|7.0
189|1222|100|Yogurt, chocolate, nonfat milk, fortified with vitamin D|7.0
1908|8261|800|Cereals ready-to-eat, GENERAL MILLS, RAISIN NUT BRAN|7.0
8590|42183|1900|Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars|7.0
6074|19033|2500|Snacks, GENERAL MILLS, CHEX MIX, traditional flavor|7.0
4811|16074|1600|Lima beans, thin seeded (baby), mature seeds, raw (Phaseolus lunatus)|7.0
4848|16112|1600|Miso|7.0
8402|35174|3500|Buffalo, free range, top round steak, raw (Shoshone Bannock)|7.0
1904|8247|800|Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran|7.0
2018|8579|800|Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar CINNAMON TOAST CRUNCH|6.9
5555|17458|1700|"Lamb, Australian, imported, fresh, leg, trotter off, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw"|6.9
